date,year,month,decade,era,home_team,away_team,home_score,away_score,goal_diff,total_goals,result,went_to_shootout,shootout_winner,shootout_first_shooter,tournament,tournament_tier,is_high_stakes,city,country,neutral,has_home_advantage,total_goals_recorded,own_goals_count,penalties_count,unique_scorers
1872-11-30,1872,11,1870,Pioneer Era (pre-1900),Scotland,England,0,0,0,0,draw,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1873-03-08,1873,3,1870,Pioneer Era (pre-1900),England,Scotland,4,2,2,6,home_win,False,,,Friendly,4,False,London,England,False,True,0,0,0,0
1874-03-07,1874,3,1870,Pioneer Era (pre-1900),Scotland,England,2,1,1,3,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1875-03-06,1875,3,1870,Pioneer Era (pre-1900),England,Scotland,2,2,0,4,draw,False,,,Friendly,4,False,London,England,False,True,0,0,0,0
1876-03-04,1876,3,1870,Pioneer Era (pre-1900),Scotland,England,3,0,3,3,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1876-03-25,1876,3,1870,Pioneer Era (pre-1900),Scotland,Wales,4,0,4,4,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1877-03-03,1877,3,1870,Pioneer Era (pre-1900),England,Scotland,1,3,-2,4,away_win,False,,,Friendly,4,False,London,England,False,True,0,0,0,0
1877-03-05,1877,3,1870,Pioneer Era (pre-1900),Wales,Scotland,0,2,-2,2,away_win,False,,,Friendly,4,False,Wrexham,Wales,False,True,0,0,0,0
1878-03-02,1878,3,1870,Pioneer Era (pre-1900),Scotland,England,7,2,5,9,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1878-03-23,1878,3,1870,Pioneer Era (pre-1900),Scotland,Wales,9,0,9,9,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1879-01-18,1879,1,1870,Pioneer Era (pre-1900),England,Wales,2,1,1,3,home_win,False,,,Friendly,4,False,London,England,False,True,0,0,0,0
1879-04-05,1879,4,1870,Pioneer Era (pre-1900),England,Scotland,5,4,1,9,home_win,False,,,Friendly,4,False,London,England,False,True,0,0,0,0
1879-04-07,1879,4,1870,Pioneer Era (pre-1900),Wales,Scotland,0,3,-3,3,away_win,False,,,Friendly,4,False,Wrexham,Wales,False,True,0,0,0,0
1880-03-13,1880,3,1880,Pioneer Era (pre-1900),Scotland,England,5,4,1,9,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1880-03-15,1880,3,1880,Pioneer Era (pre-1900),Wales,England,2,3,-1,5,away_win,False,,,Friendly,4,False,Wrexham,Wales,False,True,0,0,0,0
1880-03-27,1880,3,1880,Pioneer Era (pre-1900),Scotland,Wales,5,1,4,6,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1881-02-26,1881,2,1880,Pioneer Era (pre-1900),England,Wales,0,1,-1,1,away_win,False,,,Friendly,4,False,Blackburn,England,False,True,0,0,0,0
1881-03-12,1881,3,1880,Pioneer Era (pre-1900),England,Scotland,1,6,-5,7,away_win,False,,,Friendly,4,False,London,England,False,True,0,0,0,0
1881-03-14,1881,3,1880,Pioneer Era (pre-1900),Wales,Scotland,1,5,-4,6,away_win,False,,,Friendly,4,False,Wrexham,Wales,False,True,0,0,0,0
1882-02-18,1882,2,1880,Pioneer Era (pre-1900),Northern Ireland,England,0,13,-13,13,away_win,False,,,Friendly,4,False,Belfast,Ireland,False,True,0,0,0,0
1882-02-25,1882,2,1880,Pioneer Era (pre-1900),Wales,Northern Ireland,7,1,6,8,home_win,False,,,Friendly,4,False,Wrexham,Wales,False,True,0,0,0,0
1882-03-11,1882,3,1880,Pioneer Era (pre-1900),Scotland,England,5,1,4,6,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1882-03-13,1882,3,1880,Pioneer Era (pre-1900),Wales,England,5,3,2,8,home_win,False,,,Friendly,4,False,Wrexham,Wales,False,True,0,0,0,0
1882-03-25,1882,3,1880,Pioneer Era (pre-1900),Scotland,Wales,5,0,5,5,home_win,False,,,Friendly,4,False,Glasgow,Scotland,False,True,0,0,0,0
1883-02-03,1883,2,1880,Pioneer Era (pre-1900),England,Wales,5,0,5,5,home_win,False,,,Friendly,4,False,London,England,False,True,0,0,0,0
1883-02-24,1883,2,1880,Pioneer Era (pre-1900),England,Northern Ireland,7,0,7,7,home_win,False,,,Friendly,4,False,Liverpool,England,False,True,0,0,0,0
1883-03-10,1883,3,1880,Pioneer Era (pre-1900),England,Scotland,2,3,-1,5,away_win,False,,,Friendly,4,False,Sheffield,England,False,True,0,0,0,0
1883-03-12,1883,3,1880,Pioneer Era (pre-1900),Wales,Scotland,0,3,-3,3,away_win,False,,,Friendly,4,False,Wrexham,Wales,False,True,0,0,0,0
1883-03-17,1883,3,1880,Pioneer Era (pre-1900),Northern Ireland,Wales,1,1,0,2,draw,False,,,Friendly,4,False,Belfast,Ireland,False,True,0,0,0,0
1884-01-26,1884,1,1880,Pioneer Era (pre-1900),Northern Ireland,Scotland,0,5,-5,5,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1884-02-09,1884,2,1880,Pioneer Era (pre-1900),Wales,Northern Ireland,6,0,6,6,home_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
1884-02-23,1884,2,1880,Pioneer Era (pre-1900),Northern Ireland,England,1,8,-7,9,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1884-03-15,1884,3,1880,Pioneer Era (pre-1900),Scotland,England,1,0,1,1,home_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1884-03-17,1884,3,1880,Pioneer Era (pre-1900),Wales,England,0,4,-4,4,away_win,False,,,British Home Championship,3,False,Wrexham,Wales,False,True,0,0,0,0
